,meanX,meanY,meanZ,stdX,stdY,class
696,0.10921700972886313,0.5109643794241405,-0.0761413053283881,0.06456056985262949,0.16137184263971036,0
697,0.11255996035678047,0.5387841037341526,-0.07661653370443844,0.0636333883829427,0.1618966480887289,0
698,0.11743014660619554,0.5648893330778394,-0.06743381618969979,0.06217188742998062,0.15777835379730404,0
699,0.11312321005832582,0.5949385464191437,-0.07552850446052276,0.06244974072962213,0.15383145857993025,0
700,0.10636558241787411,0.6113398245402745,-0.07218848715108987,0.05994562839760639,0.15318918360230627,0
701,0.10246332912218004,0.6213458194619134,-0.08577880396985735,0.05892261387442955,0.15455828822909354,0
702,0.09344192984558287,0.6347926400956654,-0.07634040118978369,0.05895582780380044,0.1477008188043359,0
703,0.08851875648612068,0.6533474184217907,-0.06038140350612836,0.05937245464484996,0.14572317076396707,0
704,0.08523536775083769,0.6730876281147912,-0.07664272878445187,0.0561320499304375,0.14556584862901897,0
705,0.08289152135451634,0.6944108818258558,-0.0831592596799813,0.05497638750742328,0.14655464653972983,0
706,0.08600894273037002,0.711137939067114,-0.09575558114473438,0.05394901039821894,0.14293133284259993,0
707,0.09734976823840823,0.7264881616546994,-0.08654329944782316,0.05468003570761849,0.13839674787297204,0
708,0.12091777083419618,0.731624634492965,-0.07175387923298607,0.053040716720510035,0.13524737970237274,0
709,0.16135651086057937,0.7479075420470465,-0.09559696637329175,0.053190838101228675,0.1343241729388364,0
710,0.20820499105112894,0.7448204188119798,-0.07776493439783466,0.055439309135330496,0.13520164019991024,0
711,0.2565202670437949,0.746724043573652,-0.08326192905448335,0.05406281329286889,0.13670122101222829,0
712,0.3057836542526881,0.7402558071272713,-0.06432057740407421,0.05596963056836193,0.1374228818021661,0
713,0.35778421731222243,0.7392373737834749,-0.0799409322803838,0.057088754790873435,0.13535052305770542,0
714,0.40312678757167997,0.7385342632021222,-0.08125505197156019,0.056474183726806064,0.1356266829469001,0
715,0.4467010654154278,0.7246380845705668,-0.045321431472965065,0.05808598458031312,0.13472998088243374,0
716,0.47724478159632,0.7023228492055621,-0.04869090019702654,0.05508090734580036,0.12978614423439933,0
717,0.4974166594800495,0.6736047523362296,-0.054948903527491,0.0538200916756742,0.12533118487036243,0
718,0.517645096495038,0.6534223670051211,-0.04676365940450031,0.0524083511650405,0.12243074928419248,0
719,0.5350744057269323,0.6430539332685017,-0.04790886877121733,0.05090162099455753,0.12080344202758765,0
720,0.5519598424434662,0.6348527712481362,-0.05107575719897189,0.04954386276149912,0.11731011573026964,0
721,0.5660613491421654,0.6267948633148557,-0.04993317387557457,0.04845570035350451,0.1143545394534386,0
